id,submission_time,vote_number,question_id,message,image
0,1493398154,4,0,You need to use brackets: my_list = [],
1,1493088154,35,0,Look it up in the Python docs,
3,1553817964.8145554,0,0,"Well , that's a hard one ! 
Probably we need Jeasus for this .. 
Everyone needs Jeasus",
7,1553818037.8907213,0,0,It is working !!!!! ,
8,1553818046.3959403,0,0,Awesome CSS,
9,1553818082.4439085,0,0,"Verry beautyfull , much nice , lot of wow , much wow !!!",
10,1553818098.4716954,0,0,Gut Gut very CSS !!,
11,1553818107.9922738,0,0,MUCH CSS !!!,
12,1553818316.7797158,0,0,VERRY VERRY VERRY CSS,
13,1553820587.7512336,0,1,gggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggg,
